"month","19B","20A","20B","20C","20H/501Y.V2","20I/501Y.V1","voc1_freq","voc2_freq","freq"
"2020-03-01",0,2,0,0,0,0,0,0,2
"2020-04-01",0,24,59,0,0,0,0,0,83
"2020-05-01",5,17,63,1,0,0,0,0,86
"2020-06-01",0,21,78,0,0,0,0,0,99
"2020-07-01",0,19,81,0,0,0,0,0,100
"2020-08-01",0,1,21,0,0,0,0,0,22
"2020-09-01",0,1,13,0,0,0,0,0,14
"2020-10-01",0,1,26,0,0,0,0,0,27
"2020-11-01",0,1,23,0,0,0,0,0,24
"2020-12-01",0,5,86,0,0,2,0,0.021505376344086,93
"2021-01-01",0,0,74,1,2,10,0.0229885057471264,0.114942528735632,87
"2021-02-01",0,0,3,0,2,12,0.117647058823529,0.705882352941177,17
"2021-03-01",0,5,17,0,100,14,0.735294117647059,0.102941176470588,136
"2021-04-01",0,3,2,0,65,0,0.928571428571429,0,70
