Category,Confirmed
,
Apr-15,934
,
Apr-16,1176
,
Apr-17,1368
,
Apr-18,1605
,
Apr-19,1869
,
Apr-20,2280
,
Apr-21,2452
,
Apr-22,2754
,
Apr-23,3065
,
Apr-24,3502
,
Apr-25,3682
,
Apr-26,4053
,
Apr-27,4396
,
Apr-28,4857
,
Apr-29,5338
,
Apr-30,5743
,
May-01,6031
,
May-02,6415
,
May-03,6628
,
May-04,6943
,
May-05,7494
,
May-06,8035
,
May-07,8289
,
May-08,8677
,
May-09,8987
,
May-10,9261
,
May-11,9870
,
May-12,9870
,
May-13,9870
,
May-14,11280
,
May-15,11750
,
May-16,12157
,
May-17,12933
,
May-18,12933
,
May-19,14137
,
May-20,14137
,
May-21,14137
,
May-22,14137
,
May-23,14137
,
May-24,14137
,
May-25,18827
,
May-26,19305
,
May-27,19969
,
May-28,20659
,
May-29,21068
,
May-30,21549
,
May-31,23129
,
Jun-01,23625
,
Jun-02,25074
,
Jun-03,26061
,
Jun-04,26969
,
Jun-05,27733
,
Jun-06,28270
,
Jun-07,29228
,
Jun-08,29898
,
Jun-09,29902
,
Jun-10,31146
,
Jun-11,32353
,
Jun-12,32950
,
Jun-13,33780
,
Jun-14,33780
,
Jun-15,34985
,
Jun-16,34985
,
Jun-17,34985
,
Jun-18,34985
,
Jun-19,41547
,
Jun-20,41547
,
Jun-21,41547
,
Jun-22,41547
,
Jun-23,41547
,
Jun-24,41547
,
Jun-25,41547
,
Jun-26,41547
,
Jun-27,41547
,
Jun-28,41547
,
Jun-29,41547
,
Jun-30,41547
,
Jul-01,41547
,
Jul-02,41547
,
Jul-03,41547
,
Jul-04,46745
,
Jul-05,46745
,
Jul-06,46745
,
Jul-07,46745
,
Jul-08,46745
,
Jul-09,46745
,
Jul-10,46745
,
Jul-11,46745
,
Jul-12,46745
,
Jul-13,46745
,
Jul-14,46745
,
Jul-15,46745
,
Jul-16,46745
,
Jul-17,46745
,
Jul-18,66747
,
Jul-19,67254
,
Jul-20,67254
,
Jul-21,67356
,
Jul-22,67356
,
Jul-23,67356
,
Jul-24,77674
,
Jul-25,77674
,
Jul-26,77674
,
Jul-27,77674
,
Jul-28,77674
,
Jul-29,80260
,
Jul-30,80260
,
Jul-31,80260
,
Aug-01,80260
,
Aug-02,80260
,
Aug-03,81622
,
Aug-04,81622
,
Aug-05,81622
,
Aug-06,81622
,
Aug-07,81622
,
Aug-08,92369
,
Aug-09,92369
,
Aug-10,92369
,
Aug-11,92369
,
Aug-12,92369
,
Aug-13,92369
,
Aug-14,106201
,
Aug-15,106201
,
Aug-16,107269
,
Aug-17,106201
