Division,Distirct,#
Barisal,Barguna,918
Barisal,Barishal,3633
Barisal,Bhola,745
Barisal,Jhalokati,716
Barisal,Patuakhali,1455
Barisal,Pirojpur,1094
Chittagong,Bandarban,770
Chittagong,Brahmanbaria,2470
Chittagong,Chandpur,2330
Chittagong,Chattogram,19708
Chittagong,Cox's Bazar,4855
Chittagong,Cumilla,7670
Chittagong,Feni,1899
Chittagong,Khagrachhari,696
Chittagong,Lakshmipur,2158
Chittagong,Noakhali,5027
Chittagong,Rangamati,915
Dhaka,Dhaka,109183
Dhaka,Faridpur,7268
Dhaka,Gazipur,5539
Dhaka,Gopalganj,2622
Dhaka,Kishorgonj,2895
Dhaka,Madaripur,1479
Dhaka,Manikganj,1527
Dhaka,Munshiganj,3555
Dhaka,Narayanganj,6923
Dhaka,Narsingdi,2381
Dhaka,Rajbari,3113
Dhaka,Shariatpur,1728
Dhaka,Tangail,3210
Khulna,Bagerhat,1006
Khulna,Chuadanga,1458
Khulna,Jashore,3998
Khulna,Jhenaidah,1976
Khulna,Khulna,6500
Khulna,Kushtia,3355
Khulna,Magura,828
Khulna,Meherpur,601
Khulna,Narail,1325
Khulna,Satkhira,1093
Mymensingh,Jamalpur,1609
Mymensingh,Mymensingh,3744
Mymensingh,Netrakona,722
Mymensingh,Sherpur,484
Rajshahi,Bogura,7798
Rajshahi,Chapai Nawabganj,782
Rajshahi,Joypurhat,1116
Rajshahi,Naogaon,1331
Rajshahi,Natore,1015
Rajshahi,Pabna,1176
Rajshahi,Rajshahi,5033
Rajshahi,Sirajganj,2200
Rangpur,Dinajpur,3492
Rangpur,Gaibandha,1200
Rangpur,Kurigram,914
Rangpur,Lalmonirhat,885
Rangpur,Nilphamari,1100
Rangpur,Panchagarh,641
Rangpur,Rangpur,2909
Rangpur,Thakurgaon,1167
Sylhet,Habiganj,1769
Sylhet,Maulvibazar,1732
Sylhet,Sunamganj,2368
Sylhet,Sylhet,7126
