Author	n (strains)	publication title	journal	publication URL	strains
Maqsud Hossain et al	2	unknown	unknown	unknown	hCoV-19/Bangladesh/NGRI-R3-16/2020,hCoV-19/Bangladesh/NGRI-R3-O5/2020
Hassan Afrad et al	34	unknown	unknown	unknown	hCoV-19/Bangladesh/IEDCR-OIS-147/2021,hCoV-19/Bangladesh/IEDCR-OIS-145/2021,hCoV-19/Bangladesh/ideSHi-TR-1967/2021,hCoV-19/Bangladesh/ideSHi-TR-748/2021,hCoV-19/Bangladesh/IEDCR-OIS-247/2021,hCoV-19/Bangladesh/ideSHi-T-3089/2021,hCoV-19/Bangladesh/ideSHi-057/2021,hCoV-19/Bangladesh/ideSHi-IR-87/2021,hCoV-19/Bangladesh/ideSHi-TR-1381/2021,hCoV-19/Bangladesh/ideSHi-TR-341/2021,hCoV-19/Bangladesh/ideSHi-TR-325/2021,hCoV-19/Bangladesh/IEDCR-OIS-154/2021,hCoV-19/Bangladesh/ideSHi-IR-1214/2021,hCoV-19/Bangladesh/IEDCR-OIS-121/2021,hCoV-19/Bangladesh/ideSHi-TR-1069/2021,hCoV-19/Bangladesh/ideSHi-T-1784/2021,hCoV-19/Bangladesh/IEDCR-OIS-0070/2021,hCoV-19/Bangladesh/IEDCR-OIS-0181/2021,hCoV-19/Bangladesh/IEDCR-OIS-214/2021,hCoV-19/Bangladesh/IEDCR-OIS-235/2021,hCoV-19/Bangladesh/IEDCR-OIS-233/2021,hCoV-19/Bangladesh/IEDCR-OIS-0279/2021,hCoV-19/Bangladesh/IEDCR-V-15/2021,hCoV-19/Bangladesh/IEDCR-DJ-002/2021,hCoV-19/Bangladesh/IEDCR-OIS-114/2021,hCoV-19/Bangladesh/IEDCR-OIS-0036/2021,hCoV-19/Bangladesh/IEDCR-V-16/2021,hCoV-19/Bangladesh/JS004/2021,hCoV-19/Bangladesh/IEDCR-OIS-0079/2021,hCoV-19/Bangladesh/IEDCR-OIS-0034/2021,hCoV-19/Bangladesh/IEDCR-OIS-239/2021,hCoV-19/Bangladesh/IEDCR-V-22/2021,hCoV-19/Bangladesh/ideSHi-041/2020,hCoV-19/Bangladesh/ideSHi-055/2020
Shahina Akter et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/BCSIR-AFIP-20/2021
CHRF Bangladesh Genomics Team et al	19	unknown	unknown	unknown	hCoV-19/Bangladesh/CHRF-0289_CU/2021,hCoV-19/Bangladesh/CHRF-0194/2021,hCoV-19/Bangladesh/CHRF-0210/2021,hCoV-19/Bangladesh/CHRF-0196/2021,hCoV-19/Bangladesh/CHRF-0353/2021,hCoV-19/Bangladesh/CHRF-0175/2021,hCoV-19/Bangladesh/CHRF-0247/2021,hCoV-19/Bangladesh/CHRF-0248/2021,hCoV-19/Bangladesh/CHRF-0350/2021,hCoV-19/Bangladesh/CHRF-0211/2021,hCoV-19/Bangladesh/CHRF-0249/2021,hCoV-19/Bangladesh/CHRF-0209/2021,hCoV-19/Bangladesh/CHRF-0389/2020,hCoV-19/Bangladesh/CHRF-0330/2020,hCoV-19/Bangladesh/CHRF-0321/2020,hCoV-19/Bangladesh/CHRF-0158/2020,hCoV-19/Bangladesh/CHRF-0359/2021,hCoV-19/Bangladesh/CHRF-0162/2021,hCoV-19/Bangladesh/CHRF-0357/2021
Md. Murshed Hasan Sarkar et al	8	unknown	unknown	unknown	hCoV-19/Bangladesh/BCSIR-CVASU-11/2021,hCoV-19/Bangladesh/BCSIR-NILMRC-704/2021,hCoV-19/Bangladesh/BCSIR-NILMRC-822/2021,hCoV-19/Bangladesh/BCSIR-NILMRC-794/2021,hCoV-19/Bangladesh/BCSIR-NILMRC-333/2020,hCoV-19/Bangladesh/BCSIR-NILMRC-327/2020,hCoV-19/Bangladesh/BCSIR-NILMRC-096/2020,hCoV-19/Bangladesh/BCSIR-NILMRC-476/2021
Mohammad Enayet Hossain et al	14	unknown	unknown	unknown	hCoV-19/Bangladesh/icddrb-7790/2021,hCoV-19/Bangladesh/icddrb-1210410005/2021,hCoV-19/Bangladesh/icddrb-1210411005/2021,hCoV-19/Bangladesh/icddrb-4896/2020,hCoV-19/Bangladesh/icddrb-1210609015/2021,hCoV-19/Bangladesh/icddrb-0057/2021,hCoV-19/Bangladesh/icddrb-1210609003/2021,hCoV-19/Bangladesh/icddrb-1210509020/2021,hCoV-19/Bangladesh/icddrb-1210504010/2021,hCoV-19/Bangladesh/icddrb-1210610011/2021,hCoV-19/Bangladesh/icddrb-0289/2021,hCoV-19/Bangladesh/icddrb-1210510021/2021,hCoV-19/Bangladesh/icddrb-1210610006/2021,hCoV-19/Bangladesh/icddrb-1210313009/2021
Dr. Mohammad Al-Forkan et al	2	unknown	unknown	unknown	hCoV-19/Bangladesh/icddrb-GEB-CU-14/2021,hCoV-19/Bangladesh/icddrb-GEB-CU-52/2021
M. Tanvir Islam et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/JUST-GC285.021_W9/2021
A. S. M. Rubayet Ul Alam et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/JUST-GC283-055_W8/2021
Md Mizanur Rahaman et al	2	unknown	unknown	unknown	hCoV-19/Bangladesh/BCSIR-DU-21/2021,hCoV-19/Bangladesh/BCSIR-DU-20/2021
