"date","location","location_type","location_code","location_code_type","lat","long","cases_new","deaths_new","recovered_new","deaths","cases","cumulative_death","cumulative_cases","cases_07","cases_14","deaths_07","deaths_14"
2020-01-22,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,3,0,0,0,3,0,3,0,0,0,0
2020-03-09,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,3,0,0,0,0
2020-03-10,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,3,0,0,0,0
2020-03-11,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,3,0,0,0,0
2020-03-12,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,3,0,0,0,0
2020-03-13,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,3,0,0,0,0
2020-03-14,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,0,3,0,0,0,0
2020-03-15,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,2,0,0,0,2,0,5,0,0,0,0
2020-03-16,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,3,0,2,0,3,0,8,0,0,0,0
2020-03-17,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,2,0,1,0,2,0,10,1,0,0,0
2020-03-18,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,4,1,0,1,4,1,14,1,1,0,0
2020-03-19,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,3,0,0,0,3,1,17,2,1,0,0
2020-03-20,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,3,0,0,0,3,1,20,2,1,0,0
2020-03-21,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,5,1,0,1,5,2,25,3,1,0,0
2020-03-22,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,2,0,0,0,2,2,27,3,1,0,0
2020-03-23,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,6,1,0,1,6,3,33,3,2,0,0
2020-03-24,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,6,1,2,1,6,4,39,4,2,0,0
2020-03-25,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,1,2,1,0,5,39,3,2,0,0
2020-03-26,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,5,0,4,0,5,5,44,3,2,0,0
2020-03-27,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,4,0,0,0,4,5,48,4,3,0,0
2020-03-28,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,4,0,0,5,48,3,3,0,0
2020-03-29,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,0,0,0,0,0,5,48,3,3,0,0
2020-03-30,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,1,0,4,0,1,5,49,2,2,0,0
2020-03-31,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,2,0,6,0,2,5,51,1,2,0,0
2020-04-01,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,3,1,0,1,3,6,54,2,2,0,0
2020-04-02,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,2,0,0,0,2,6,56,1,2,0,0
2020-04-03,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,5,0,1,0,5,6,61,1,2,0,0
2020-04-04,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,9,2,4,2,9,8,70,3,3,0,0
2020-04-05,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,18,1,3,1,18,9,88,5,4,0,0
2020-04-06,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,35,3,0,3,35,12,123,10,6,1,0
2020-04-07,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,41,5,0,5,41,17,164,16,8,1,0
2020-04-08,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,54,3,0,3,54,20,218,23,12,2,1
2020-04-09,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,112,1,0,1,112,21,330,39,20,2,1
2020-04-10,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,94,6,0,6,94,27,424,51,26,3,1
2020-04-11,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,58,3,3,3,58,30,482,58,31,3,1
2020-04-12,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,139,4,3,4,139,34,621,76,40,3,2
2020-04-13,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,182,5,3,5,182,39,803,97,53,3,2
2020-04-14,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,209,7,0,7,209,46,1012,121,68,4,2
2020-04-15,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,219,4,7,4,219,50,1231,144,84,4,3
2020-04-16,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,341,10,0,10,341,60,1572,177,108,5,3
2020-04-17,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,266,15,9,15,266,75,1838,202,126,6,4
2020-04-18,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,306,9,8,9,306,84,2144,237,148,7,5
2020-04-19,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,312,7,9,7,312,91,2456,262,169,8,5
2020-04-20,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,492,10,10,10,492,101,2948,306,201,8,6
2020-04-21,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,434,9,2,9,434,110,3382,338,229,9,6
2020-04-22,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,390,10,5,10,390,120,3772,363,253,10,7
2020-04-23,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,414,7,16,7,414,127,4186,373,275,9,7
2020-04-24,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,503,4,4,4,503,131,4689,407,304,8,7
2020-04-25,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,309,9,1,9,309,140,4998,407,322,8,7
2020-04-26,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,418,5,9,5,418,145,5416,422,342,7,7
2020-04-27,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,497,7,9,7,497,152,5913,423,365,7,8
2020-04-28,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,549,3,8,3,549,155,6462,440,389,6,7
2020-04-29,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,641,8,11,8,641,163,7103,475,419,6,8
2020-04-30,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,564,5,10,5,564,168,7667,497,435,5,7
2020-05-01,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,571,2,14,2,571,170,8238,507,457,5,6
2020-05-02,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,552,5,3,5,552,175,8790,541,474,5,6
2020-05-03,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,665,2,886,2,665,177,9455,577,499,4,6
2020-05-04,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,688,5,146,5,688,182,10143,604,513,4,5
2020-05-05,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,786,1,194,1,786,183,10929,638,539,4,5
2020-05-06,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,790,3,0,3,790,186,11719,659,567,3,4
2020-05-07,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,706,13,507,13,706,199,12425,679,588,4,5
2020-05-08,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,709,7,191,7,709,206,13134,699,603,5,5
2020-05-09,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,636,8,313,8,636,214,13770,711,626,5,5
2020-05-10,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,887,14,236,14,887,228,14657,743,660,7,5
2020-05-11,"Bangladesh","country","BD","iso_3166_2",23.685,90.3563,1034,11,252,11,1034,239,15691,792,698,8,6
