"month","19B","20A","20B","20C","20H/501Y.V2","20I/501Y.V1","voc1_freq","voc2_freq","freq"
"2020-03-01",0,4,0,0,0,0,0,0,4
"2020-04-01",0,24,61,0,0,0,0,0,85
"2020-05-01",5,17,79,1,0,0,0,0,102
"2020-06-01",0,21,213,0,0,0,0,0,234
"2020-07-01",0,18,176,0,0,0,0,0,194
"2020-08-01",0,1,21,0,0,0,0,0,22
"2020-09-01",0,0,13,0,0,0,0,0,13
"2020-10-01",0,1,26,0,0,0,0,0,27
"2020-11-01",0,1,22,0,0,0,0,0,23
"2020-12-01",0,4,70,0,0,1,0,0.0133333333333333,75
"2021-01-01",0,1,63,0,1,5,0.0142857142857143,0.0714285714285714,70
"2021-02-01",0,0,3,0,2,1,0.333333333333333,0.166666666666667,6
"2021-03-01",0,0,3,0,16,3,0.727272727272727,0.136363636363636,22
