district,population
Bagerhat,1675000
Bandarban,469000
Barguna,1013000
Barisal,2776000
Bhola,2057000
Bogra,3903000
Brahamanbaria,3617000
Chandpur,2929000
Chittagong,8990000
Chuadanga,1299000
Comilla,6559000
Cox'S Bazar,2979000
Dhaka,13798000
Dinajpur,3430000
Faridpur,2201000
Feni,1754000
Gaibandha,2975000
Gazipur,4046000
Gopalganj,1346000
Habiganj,2640000
Jamalpur,2713000
Jessore,3182000
Jhalokati,778000
Jhenaidah,2111000
Joypurhat,1042000
Khagrachhari,738000
Khulna,2650000
Kishoreganj,3648000
Kurigram,2464000
Kushtia,2318000
Lakshmipur,2223000
Lalmonirhat,1500000
Madaripur,1393000
Magura,1091000
Manikganj,1640000
Maulvibazar,2324000
Meherpur,750000
Munshiganj,1669000
Mymensingh,6378000
Naogaon,2977000
Narail,856000
Narayanganj,3490000
Narsingdi,2685000
Natore,1956000
Nawabganj,2003000
Netrakona,2759000
Nilphamari,2204000
Noakhali,3799000
Pabna,3019000
Panchagarh,1188000
Patuakhali,1823000
Pirojpur,1266000
Rajbari,1201000
Rajshahi,3000000
Rangamati,690000
Rangpur,3439000
Satkhira,2285000
Shariatpur,1385000
Sherpur,1607000
Sirajganj,3707000
Sunamganj,3091000
Sylhet,4408000
Tangail,4105000
Thakurgaon,1668000
