Date,no,consented,Selected,Collected,Positive,Positivity,7d av,RDT,TOTAL,IEDCR,CST,Comments
01/03/2021,86,23,22,20,0,0%,,,20,20,,
02/03/2021,87,36,35,32,1,3%,,,32,32,,
03/03/2021,88,37,37,29,1,3%,,,29,29,,
04/03/2021,89,32,29,28,1,4%,,,28,28,,
06/03/2021,90,27,26,20,1,5%,,,20,20,,
07/03/2021,91,43,43,40,2,5%,,,40,40,,
08/03/2021,92,36,36,31,4,13%,5%,,31,31,,
09/03/2021,93,43,43,38,3,8%,5%,,38,38,,
10/03/2021,94,35,33,29,2,7%,6%,,29,29,,
11/03/2021,95,55,55,51,2,4%,6%,,51,51,,
13/03/2021,96,71,70,60,4,7%,6%,,60,60,,
14/03/2021,97,59,59,47,6,13%,8%,,47,47,,
29/03/2021,100,94,84,60,15,25%,11%,,60,60,,
31/03/2021,101,77,70,50,20,40%,15%,,50,50,,
01/04/2021,102,174,171,58,38,66%,23%,,58,58,,
03/04/2021,103,119,95,59,32,54%,30%,,59,59,,
04/04/2021,104,166,159,46,29,63%,38%,,46,46,,
05/04/2021,105,113,43,40,9,23%,40%,,40,40,,
07/04/2021,107,114,44,35,14,40%,44%,,35,35,,
10/04/2021,109,55,36,28,9,32%,46%,,28,28,,
11/04/2021,110,109,34,25,5,20%,39%,,25,25,,
12/04/2021,111,81,39,29,13,45%,37%,,29,29,,
13/04/2021,112,70,31,26,5,19%,30%,,26,26,,
15/04/2021,113,59,26,20,7,35%,32%,,20,20,,
17/04/2021,114,86,23,19,10,53%,35%,,19,19,,
18/04/2021,115,87,31,22,8,36%,34%,,22,22,,
19/04/2021,116,58,36,33,16,48%,36%,,33,33,,
20/04/2021,117,52,34,26,6,23%,35%,,26,26,,
21/04/2021,118,59,30,23,7,30%,36%,,23,23,,
22/04/2021,119,62,45,21,4,19%,33%,,21,21,,
24/04/2021,120,51,47,36,10,28%,34%,,36,36,,
25/04/2021,121,77,48,36,6,17%,32%,,36,36,,
26/04/2021,122,56,41,34,4,12%,27%,,34,34,,
27/04/2021,123,74,41,32,2,6%,23%,,32,32,,
28/04/2021,124,45,38,32,3,9%,18%,,32,32,,
29/04/2021,125,50,40,35,4,11%,17%,,35,35,,
02/05/2021,126,30,30,8,2,25%,16%,,8,8,,
03/05/2021,127,22,22,18,3,17%,16%,,18,18,,
04/05/2021,128,13,13,11,1,9%,13%,,11,11,,
05/05/2021,129,25,25,19,2,11%,13%,,19,19,,
06/05/2021,130,26,26,20,2,10%,12%,,20,20,,
08/05/2021,131,25,25,10,2,20%,14%,,10,10,,
09/05/2021,132,19,19,13,2,15%,15%,,13,13,,
11/05/2021,133,16,16,10,4,40%,18%,,10,10,,
12/05/2021,134,14,14,9,1,11%,17%,,9,9,,
13/05/2021,135,4,4,2,0,0%,15%,,2,2,,
17/05/2021,136,18,18,14,3,21%,16%,,14,14,,
18/05/2021,137,24,24,18,0,0%,15%,,18,18,,
19/05/2021,138,21,21,15,0,0%,13%,6,21,15,,
20/05/2021,139,21,21,11,0,0%,11%,4,15,11,,
22/05/2021,140,33,33,17,3,18%,11%,10,27,17,,
23/05/2021,141,30,30,23,1,4%,7%,5,28,23,,
24/05/2021,142,32,32,26,5,19%,8%,6,32,26,,
25/05/2021,143,24,24,16,2,13%,9%,14,30,16,,
27/05/2021,144,27,27,17,1,6%,7%,8,25,17,,
30/05/2021,145,10,10,7,0,0%,7%,9,16,7,,
07/06/2021,147,13,13,10,0,0%,9%,18,28,10,,
08/06/2021,148,13,13,10,0,0%,6%,15,25,10,,
09/06/2021,149,16,16,12,0,0%,5%,22,34,12,,
10/06/2021,150,34,34,17,4,24%,6%,16,33,17,,
12/06/2021,151,17,17,7,0,0%,4%,14,21,7,,
13/06/2021,152,24,12,12,0,0%,3%,14,26,12,,
14/06/2021,153,20,20,9,0,0%,3%,16,25,9,,
15/06/2021,154,32,32,17,6,35%,7%,16,33,17,,
16/06/2021,155,31,31,24,1,4%,8%,13,37,24,,
17/06/2021,156,28,28,15,1,7%,9%,19,34,15,,
19/06/2021,157,26,26,12,2,17%,11%,19,31,12,,
20/06/2021,158,29,26,16,1,6%,9%,21,37,16,,
21/06/2021,159,33,29,17,0,,10%,17,34,17,,
22/06/2021,160,9,9,7,2,29%,14%,23,30,7,,
23/06/2021,161,1,1,1,0,,16%,27,28,1,,
26/06/2021,162,24,24,14,7,50%,19%,51,65,14,,
